train_or_test,Simulation_Number,Maze_Name,Step_Size,Side_Length,Total_Length,Corner,Width,Height,Fillet_Radius,Simulation_Resistance,Best_Model
train,8111,Maze_109,1.5,30.0,30.0,0,50.0,200.0,0.0,2.54421462106411,ExtraTreesRegressor
train,407,Maze_16,0.5,16.0,84.0,104,40.0,40.0,30.0,130.18147260315,ExtraTreesRegressor
train,6590,Maze_138,1.25,8.75,18.75,10,186.25,40.0,139.6875,2.5370849524818,ExtraTreesRegressor
train,1206,Maze_45,0.75,19.5,63.0,54,151.666666666667,400.0,132.708333333333,0.100587023499109,ExtraTreesRegressor
train,8952,Maze_120,1.5,13.5,25.5,10,100.0,200.0,87.5,0.317910668848939,ExtraTreesRegressor
train,2010,Maze_27,0.75,2.25,3.75,4,241.0,400.0,210.875,0.0020014859641738,ExtraTreesRegressor
train,2915,Maze_39,0.5,48.5,48.5,0,250.0,100.0,0.0,0.485147578697458,ExtraTreesRegressor
train,1081,Maze_15,0.5,14.5,14.5,0,150.0,50.0,0.0,1.85635219249432,ExtraTreesRegressor
test,8512,Maze_114,1.75,14.0,31.5,12,374.0,220.0,233.75,0.0214610955671977,ExtraTreesRegressor
train,10203,Maze_137,2.0,16.0,48.0,16,40.0,40.0,35.0,73.8344757622831,ExtraTreesRegressor
train,8886,Maze_119,1.5,40.5,40.5,0,150.0,100.0,0.0,0.843855885201486,ExtraTreesRegressor
test,3400,Maze_71,0.75,15.0,34.5,34,291.25,220.833333333333,182.03125,0.0341075111702628,XGBRegressor
train,407,Maze_6,0.5,4.5,12.5,16,150.0,50.0,112.5,1.41036822411114,ExtraTreesRegressor
train,537,Maze_8,0.5,4.5,8.5,10,50.0,200.0,43.75,0.71222075494806,ExtraTreesRegressor
train,5776,Maze_78,1.0,63.0,63.0,0,50.0,50.0,0.0,40.5159694385568,ExtraTreesRegressor
train,10022,Maze_134,2.0,14.0,30.0,10,616.0,40.0,462.0,0.87016881503098,ExtraTreesRegressor
train,7987,Maze_107,1.75,10.5,17.5,8,374.0,220.0,233.75,0.0119713178309378,ExtraTreesRegressor
train,8566,Maze_115,1.75,15.75,36.75,10,207.0,40.0,129.375,3.58709491833047,ExtraTreesRegressor
train,3602,Maze_49,0.5,18.5,68.5,88,50.0,50.0,37.5,43.4492004097424,ExtraTreesRegressor
train,6288,Maze_131,1.25,5.0,7.5,4,478.75,957.5,418.90625,0.0002414807979994,DecisionTreeRegressor
train,5532,Maze_116,1.0,17.0,43.0,26,40.0,80.0,35.0,20.5773562345952,ExtraTreesRegressor
train,3283,Maze_44,0.75,6.75,20.25,16,241.0,400.0,150.625,0.00981568341551,ExtraTreesRegressor
train,108,Maze_2,0.5,8.0,8.0,0,150.0,50.0,0.0,1.03713974287486,ExtraTreesRegressor
test,358,Maze_5,0.5,2.0,3.0,4,166.0,400.0,103.75,0.0038699634718558,DecisionTreeRegressor
train,3142,Maze_42,0.75,6.0,22.5,20,308.0,220.0,192.5,0.0204071684251222,ExtraTreesRegressor
train,8525,Maze_178,1.5,9.0,12.0,4,395.0,290.0,296.25,0.0039681355716155,ExtraTreesRegressor
